"CardCode","Resultado","HttpCode","Mensaje"
"C1000350389","OK","204","Actualizado"
"C1000695045","OK","204","Actualizado"
"C1000855284","OK","204","Actualizado"
"C1000986296","OK","204","Actualizado"
"C1000989610","OK","204","Actualizado"
"C1001118419","OK","204","Actualizado"
"C10022508","OK","204","Actualizado"
"C1002462175","OK","204","Actualizado"
"C1002740358","OK","204","Actualizado"
"C1003522736","OK","204","Actualizado"
"C1003805593","OK","204","Actualizado"
"C1003812499","OK","204","Actualizado"
"C1004323098","OK","204","Actualizado"
"C1004373610","OK","204","Actualizado"
"C1005078341","OK","204","Actualizado"
"C1005252523","OK","204","Actualizado"
"C1005602218","OK","204","Actualizado"
"C1005771250","OK","204","Actualizado"
"C1005820715","OK","204","Actualizado"
"C1005859047","OK","204","Actualizado"
